class_index,class,SCIENTIFIC NAME
300,SNOWY OWL,Bubo scandiacus
301,SORA,Porzana carolina
302,SPANGLED COTINGA,Cotinga cayana
303,SPLENDID WREN,Malurus splendens
304,SPOON BILED SANDPIPER,Calidris pygmaea
305,SPOONBILL,Platalea
306,SPOTTED CATBIRD,Ailuroedus maculosus
307,SRI LANKA BLUE MAGPIE,Urocissa ornata
308,STEAMER DUCK,Tachyeres
309,STORK BILLED KINGFISHER,Pelargopsis capensis
310,STRAWBERRY FINCH,Amandava amandava
311,STRIPED OWL,Asio clamator
312,STRIPPED MANAKIN,Machaeropterus regulus
313,STRIPPED SWALLOW,Cecropis abyssinica
314,SUPERB STARLING,Lamprotornis superbus
315,SWINHOES PHEASANT,Lophura swinhoii
316,TAIWAN MAGPIE,Urocissa caerulea
317,TAKAHE,Porphyrio hochstetteri
318,TASMANIAN HEN,Tribonyx mortierii
319,TEAL DUCK,Anas crecca
320,TIT MOUSE,Paridae
321,TOUCHAN,Ramphastidae
322,TOWNSENDS WARBLER,Setophaga townsendi
323,TREE SWALLOW,Tachycineta bicolor
324,TROPICAL KINGBIRD,Tyrannus melancholicus
325,TRUMPTER SWAN,Cygnus buccinator
326,TURKEY VULTURE,Cathartes aura
327,TURQUOISE MOTMOT,Eumomota superciliosa
328,UMBRELLA BIRD,Cephalopterus
329,VARIED THRUSH,Ixoreus naevius
330,VENEZUELIAN TROUPIAL,Icterus icterus
331,VERMILION FLYCATHER,Pyrocephalus obscurus
332,VICTORIA CROWNED PIGEON,Goura victoria
333,VIOLET GREEN SWALLOW,Tachycineta thalassina
334,VULTURINE GUINEAFOWL,Acryllium vulturinum
335,WALL CREAPER,Tichodroma muraria
336,WATTLED CURASSOW,Crax globulosa
337,WATTLED LAPWING,Vanellus indicus
338,WHIMBREL,Numenius phaeopus
339,WHITE BROWED CRAKE,Amaurornis cinerea
340,WHITE CHEEKED TURACO,Tauraco leucotis
341,WHITE NECKED RAVEN,Corvus albicollis
342,WHITE TAILED TROPIC,Phaethon lepturus
343,WHITE THROATED BEE EATER,Merops albicollis
344,WILD TURKEY,Meleagris gallopavo
345,WILSONS BIRD OF PARADISE,Cicinnurus respublica
346,WOOD DUCK,Aix sponsa
347,YELLOW BELLIED FLOWERPECKER,Dicaeum melanoxanthum
348,YELLOW CACIQUE,Cacicus cela
349,YELLOW HEADED BLACKBIRD,Xanthocephalus
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
